merchant_id,merchant_name,business_category,merchant_tier,onboard_date,state,city,kyc_status,risk_category,account_manager_id,monthly_gmv_band,is_active,churn_date,created_at
MER00001,PharmaEase Health,HealthTech,Platinum,2021-10-09,Karnataka,Bengaluru,Verified,High,AM003,1L-10L,TRUE,,2021-10-09 00:00:00
MER00002,LearnNow EdTech,E-Commerce,Gold,2021-08-27,Maharashtra,Pune,Verified,Medium,AM014,<1L,TRUE,,2021-08-27 00:00:00
MER00003,FinSecure Broking,HealthTech,Bronze,2021-01-07,Telangana,Nizamabad,Verified,Low,AM011,<1L,TRUE,,2021-01-07 00:00:00
MER00004,HealthFirst Clinics,E-Commerce,Silver,2021-12-19,Karnataka,Mangaluru,Verified,Critical,AM013,<1L,TRUE,,2021-12-19 00:00:00
MER00005,PlayStream Media,Logistics,Silver,2023-06-02,Andhra Pradesh,Visakhapatnam,Verified,Low,AM010,>1Cr,TRUE,,2023-06-02 00:00:00
MER00006,QuickFix Services,FMCG,Bronze,2022-01-25,Delhi,Dwarka,Verified,Low,AM009,10L-1Cr,TRUE,,2022-01-25 00:00:00
MER00007,RapidShip Courier,Logistics,Platinum,2022-10-13,Punjab,Ludhiana,Verified,Low,AM018,<1L,TRUE,,2022-10-13 00:00:00
MER00008,ByteCart Technologies,E-Commerce,Bronze,2021-02-27,Andhra Pradesh,Guntur,Verified,Low,AM019,10L-1Cr,TRUE,,2021-02-27 00:00:00
MER00009,ByteCart Technologies317,SaaS,Silver,2022-10-21,Punjab,Ludhiana,Verified,Medium,AM009,10L-1Cr,TRUE,,2022-10-21 00:00:00
MER00010,CargoExpress Logistics,HealthTech,Silver,2022-01-06,Bihar,Bhagalpur,Verified,Low,AM004,<1L,TRUE,,2022-01-06 00:00:00
MER00011,FreshDeal FMCG,Media & Entertainment,Bronze,2022-09-03,Madhya Pradesh,Gwalior,Verified,Critical,AM001,10L-1Cr,FALSE,2023-11-27,2022-09-03 00:00:00
MER00012,SwiftLog Solutions,FMCG,Bronze,2023-02-08,Punjab,Amritsar,Verified,Low,AM001,>1Cr,TRUE,,2023-02-08 00:00:00
